"Area","Fishery","Sex","SizeClass","Year","CalendarYear","Timestep","ThisTimestep","VNotchedNumber","VNotchedWeight","LandedCatchNumber","LandedCatchWeight","DeadHandlingMNumber","DeadHandlingMWeight","ExploitationRateNumber","ExploitationRateWeight"
"Area 1","Fishery 1","Male",158,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",163,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",168,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",173,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",178,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",183,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",188,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",193,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",198,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",203,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",208,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",213,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",218,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",223,1981,1981,1,1,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",53,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",58,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",63,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",68,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",73,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",78,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",83,1981,1981,2,2,0,0,130000,65035415.025,0,0,143.645,140.545
"Area 1","Fishery 1","Female",88,1981,1981,2,2,0,0,80000,48476161.245,0,0,182.65,183.245
"Area 1","Fishery 1","Female",93,1981,1981,2,2,0,0,80000,57042533.105,0,0,220.995,223.81
"Area 1","Fishery 1","Female",98,1981,1981,2,2,0,0,30000,23919907.475,0,0,162.16,158.985
"Area 1","Fishery 1","Female",103,1981,1981,2,2,0,0,5000,4803991.255,0,0,47.17,48.45
"Area 1","Fishery 1","Female",108,1981,1981,2,2,0,0,30000,32448299.135,0,0,416.665,418.235
"Area 1","Fishery 1","Female",113,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",118,1981,1981,2,2,0,0,5000,7150029.92,0,0,208.335,213.615
"Area 1","Fishery 1","Female",123,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",128,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",133,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",138,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",143,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",148,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",153,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",158,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",163,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",168,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",173,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",178,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",183,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",188,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",193,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",198,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",203,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",208,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",213,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",218,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",223,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",53,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",58,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",63,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",68,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",73,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",78,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",83,1981,1981,2,2,0,0,1e+05,50893150.345,0,0,122.7,122.54
"Area 1","Fishery 1","Male",88,1981,1981,2,2,0,0,55000,32233297.275,0,0,145.505,141.875
"Area 1","Fishery 1","Male",93,1981,1981,2,2,0,0,40000,27961595.465,0,0,125.39,124.58
"Area 1","Fishery 1","Male",98,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",103,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",108,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",113,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",118,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",123,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",128,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",133,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",138,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",143,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",148,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",153,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",158,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",163,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",168,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",173,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",178,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",183,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",188,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",193,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",198,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",203,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",208,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",213,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",218,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",223,1981,1981,2,2,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",53,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",58,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",63,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",68,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",73,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",78,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",83,1981,1981,3,3,0,0,195000,99003397.28,0,0,223.625,221.895
"Area 1","Fishery 1","Female",88,1981,1981,3,3,0,0,185000,110692139.97,0,0,441.525,437.535
"Area 1","Fishery 1","Female",93,1981,1981,3,3,0,0,105000,73318938.42,0,0,307.02,304.815
"Area 1","Fishery 1","Female",98,1981,1981,3,3,0,0,30000,24210185.87,0,0,168.54,167.18
"Area 1","Fishery 1","Female",103,1981,1981,3,3,0,0,10000,9387238.895,0,0,96.155,96.55
"Area 1","Fishery 1","Female",108,1981,1981,3,3,0,0,20000,21666352.18,0,0,303.03,304.755
"Area 1","Fishery 1","Female",113,1981,1981,3,3,0,0,5000,6200459.66,0,0,138.89,140.98
"Area 1","Fishery 1","Female",118,1981,1981,3,3,0,0,5000,7218032.3,0,0,217.39,225.27
"Area 1","Fishery 1","Female",123,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",128,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",133,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",138,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",143,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",148,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",153,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",158,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",163,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",168,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",173,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",178,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",183,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",188,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",193,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",198,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",203,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",208,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",213,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",218,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",223,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",53,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",58,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",63,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",68,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",73,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",78,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",83,1981,1981,3,3,0,0,210000,107558943.31,0,0,268.2,269.585
"Area 1","Fishery 1","Male",88,1981,1981,3,3,0,0,90000,54576407.66,0,0,245.9,247.855
"Area 1","Fishery 1","Male",93,1981,1981,3,3,0,0,50000,35474263.01,0,0,161.29,162.63
"Area 1","Fishery 1","Male",98,1981,1981,3,3,0,0,15000,12104856.815,0,0,129.31,128.025
"Area 1","Fishery 1","Male",103,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",108,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",113,1981,1981,3,3,0,0,10000,12208431.075,0,0,666.665,666.595
"Area 1","Fishery 1","Male",118,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",123,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",128,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",133,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",138,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",143,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",148,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",153,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",158,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",163,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",168,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",173,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",178,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",183,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",188,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",193,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",198,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",203,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",208,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",213,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",218,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",223,1981,1981,3,3,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",53,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",58,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",63,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",68,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",73,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",78,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",83,1981,1981,4,4,0,0,260000,132244343.02,0,0,314.39,312.38
"Area 1","Fishery 1","Female",88,1981,1981,4,4,0,0,175000,105457572.97,0,0,461.74,460.47
"Area 1","Fishery 1","Female",93,1981,1981,4,4,0,0,90000,63761368.065,0,0,282.13,284.1
"Area 1","Fishery 1","Female",98,1981,1981,4,4,0,0,25000,21015243.165,0,0,146.2,150.98
"Area 1","Fishery 1","Female",103,1981,1981,4,4,0,0,25000,23815291.925,0,0,250,254.705
"Area 1","Fishery 1","Female",108,1981,1981,4,4,0,0,10000,11362595.49,0,0,163.935,172.91
"Area 1","Fishery 1","Female",113,1981,1981,4,4,0,0,5000,6161437.47,0,0,142.855,144.155
"Area 1","Fishery 1","Female",118,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",123,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",128,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",133,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",138,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",143,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",148,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",153,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",158,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",163,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",168,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",173,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",178,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",183,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",188,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",193,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",198,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",203,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",208,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",213,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",218,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",223,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",53,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",58,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",63,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",68,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",73,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",78,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",83,1981,1981,4,4,0,0,140000,71050831.315,0,0,191.52,190.77
"Area 1","Fishery 1","Male",88,1981,1981,4,4,0,0,165000,99414014.915,0,0,479.65,480.495
"Area 1","Fishery 1","Male",93,1981,1981,4,4,0,0,65000,45587403.265,0,0,218.12,217.465
"Area 1","Fishery 1","Male",98,1981,1981,4,4,0,0,15000,12337667.315,0,0,133.93,135.18
"Area 1","Fishery 1","Male",103,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",108,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",113,1981,1981,4,4,0,0,10000,11672753.155,0,0,769.23,735.39
"Area 1","Fishery 1","Male",118,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",123,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",128,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",133,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",138,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",143,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",148,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",153,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",158,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",163,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",168,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",173,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",178,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",183,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",188,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",193,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",198,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",203,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",208,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",213,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",218,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Male",223,1981,1981,4,4,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",53,1981,1981,5,5,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",58,1981,1981,5,5,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",63,1981,1981,5,5,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",68,1981,1981,5,5,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",73,1981,1981,5,5,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",78,1981,1981,5,5,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",83,1981,1981,5,5,0,0,305000,155229105.845,0,0,400.79,398.495
"Area 1","Fishery 1","Female",88,1981,1981,5,5,0,0,205000,124005780.33,0,0,599.415,599.74
"Area 1","Fishery 1","Female",93,1981,1981,5,5,0,0,115000,80917860.56,0,0,382.06,382.26
"Area 1","Fishery 1","Female",98,1981,1981,5,5,0,0,40000,32678316.87,0,0,240.965,242.085
"Area 1","Fishery 1","Female",103,1981,1981,5,5,0,0,25000,23303078.91,0,0,265.955,265.455
"Area 1","Fishery 1","Female",108,1981,1981,5,5,0,0,5000,5661468.685,0,0,87.72,92.28
"Area 1","Fishery 1","Female",113,1981,1981,5,5,0,0,15000,18526813.965,0,0,441.175,446.33
"Area 1","Fishery 1","Female",118,1981,1981,5,5,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",123,1981,1981,5,5,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",128,1981,1981,5,5,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",133,1981,1981,5,5,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",138,1981,1981,5,5,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",143,1981,1981,5,5,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",148,1981,1981,5,5,0,0,0,0,0,0,0,0
"Area 1","Fishery 1","Female",153,1981,1981,5,5,0,0,0,0,0,0,0,0
